serial_no,open_date,b1,b2,b3,b4,b5,r1,r2
2018066,2018-06-09 (六),01,20,23,32,33,01,04
2018065,2018-06-06 (三),07,10,28,31,32,08,10
2018064,2018-06-04 (一),01,03,04,11,29,02,04
2018063,2018-06-02 (六),05,14,15,32,34,03,10
2018062,2018-05-30 (三),12,14,19,23,35,02,07
2018061,2018-05-28 (一),04,10,12,28,31,08,11
2018060,2018-05-26 (六),04,22,27,29,31,02,10
2018059,2018-05-23 (三),01,09,10,27,35,06,11
2018058,2018-05-21 (一),09,11,12,26,32,04,10
2018057,2018-05-19 (六),13,19,22,27,28,05,06
2018056,2018-05-16 (三),02,04,16,28,34,05,07
2018055,2018-05-14 (一),03,07,20,33,34,09,10
2018054,2018-05-12 (六),09,10,12,20,30,01,07
2018053,2018-05-09 (三),11,16,21,23,25,02,12
2018052,2018-05-07 (一),05,16,18,19,25,02,07
2018051,2018-05-05 (六),09,18,28,29,35,03,11
2018050,2018-05-02 (三),22,24,26,34,35,06,12
2018049,2018-04-30 (一),04,07,09,10,13,06,12
2018048,2018-04-28 (六),02,03,11,20,25,02,07
2018047,2018-04-25 (三),03,08,10,14,20,04,08
2018046,2018-04-23 (一),10,20,22,29,32,05,10
2018045,2018-04-21 (六),02,05,20,30,35,05,09
2018044,2018-04-18 (三),02,04,06,18,21,05,08
2018043,2018-04-16 (一),03,06,13,28,33,04,11
2018042,2018-04-14 (六),03,19,25,29,35,05,09
2018041,2018-04-11 (三),01,23,25,31,33,01,12
2018040,2018-04-09 (一),05,07,18,27,31,01,08
2018039,2018-04-07 (六),02,07,14,29,32,10,11
2018038,2018-04-04 (三),14,23,25,31,32,01,03
2018037,2018-04-02 (一),01,03,27,30,31,02,11
2018036,2018-03-31 (六),11,17,18,21,27,07,08
2018035,2018-03-28 (三),05,07,10,12,24,07,11
2018034,2018-03-26 (一),08,11,22,27,32,03,07
2018033,2018-03-24 (六),02,03,19,23,34,04,09
2018032,2018-03-21 (三),07,10,17,32,35,05,12
2018031,2018-03-19 (一),03,08,13,17,23,05,11
2018030,2018-03-17 (六),05,18,21,28,32,09,11
2018029,2018-03-14 (三),03,09,21,25,29,01,08
2018028,2018-03-12 (一),04,19,25,30,35,04,07
2018027,2018-03-10 (六),01,18,20,21,26,04,11
2018026,2018-03-07 (三),01,02,03,04,30,03,05
2018025,2018-03-05 (一),07,08,09,15,34,07,08
2018024,2018-03-03 (六),02,16,24,30,32,04,07
2018023,2018-02-28 (三),12,13,18,21,29,02,08
2018022,2018-02-26 (一),02,10,19,33,35,05,06
2018021,2018-02-24 (六),05,06,08,09,15,04,11
2018020,2018-02-14 (三),01,10,13,14,21,09,12
2018019,2018-02-12 (一),10,11,19,21,28,05,12
2018018,2018-02-10 (六),06,08,13,24,28,06,12
2018017,2018-02-07 (三),04,19,21,23,31,04,09
2018016,2018-02-05 (一),01,02,12,13,23,09,12
2018015,2018-02-03 (六),04,13,15,18,29,05,11
2018014,2018-01-31 (三),14,16,18,24,31,01,08
2018013,2018-01-29 (一),08,24,31,33,35,07,10
2018012,2018-01-27 (六),03,22,24,29,34,07,11
2018011,2018-01-24 (三),03,13,15,23,26,01,10
2018010,2018-01-22 (一),24,25,26,28,29,04,12
2018009,2018-01-20 (六),10,12,28,30,34,03,04
2018008,2018-01-17 (三),09,15,17,20,22,10,11
2018007,2018-01-15 (一),03,04,28,31,34,04,11
2018006,2018-01-13 (六),19,20,30,32,33,03,05
2018005,2018-01-10 (三),04,09,23,24,30,08,11
2018004,2018-01-08 (一),04,09,22,28,30,01,10
2018003,2018-01-06 (六),04,21,23,24,30,09,10
2018002,2018-01-03 (三),12,20,23,27,34,01,06
2018001,2018-01-01 (一),01,13,22,25,35,03,04
2017153,2017-12-30 (六),01,09,24,26,34,09,12
2017152,2017-12-27 (三),02,04,07,23,28,02,08
2017151,2017-12-25 (一),05,06,23,28,32,04,05
2017150,2017-12-23 (六),03,06,10,13,18,09,11
2017149,2017-12-20 (三),10,18,19,25,26,04,12
2017148,2017-12-18 (一),19,27,31,32,35,11,12
2017147,2017-12-16 (六),05,16,17,25,34,01,11
2017146,2017-12-13 (三),01,05,11,14,35,09,10
2017145,2017-12-11 (一),04,07,17,18,19,03,10
2017144,2017-12-09 (六),03,21,23,29,32,10,11
2017143,2017-12-06 (三),06,09,24,29,32,02,07
2017142,2017-12-04 (一),01,05,16,19,28,02,10
2017141,2017-12-02 (六),02,08,21,22,29,03,05
2017140,2017-11-29 (三),10,16,25,26,29,01,05
2017139,2017-11-27 (一),02,06,19,25,32,09,12
2017138,2017-11-25 (六),04,07,09,20,25,02,11
2017137,2017-11-22 (三),01,20,22,28,29,05,07
2017136,2017-11-20 (一),01,11,20,21,22,03,04
2017135,2017-11-18 (六),01,12,15,19,22,02,04
2017134,2017-11-15 (三),07,18,19,32,34,02,10
2017133,2017-11-13 (一),15,17,19,32,33,01,03
2017132,2017-11-11 (六),11,17,23,26,27,01,10
2017131,2017-11-08 (三),03,05,08,19,34,01,12
2017130,2017-11-06 (一),05,18,28,33,34,03,04
2017129,2017-11-04 (六),05,17,20,32,33,04,09
2017128,2017-11-01 (三),09,11,13,18,33,02,03
2017127,2017-10-30 (一),02,15,18,21,22,03,10
2017126,2017-10-28 (六),03,04,13,24,33,01,11
2017125,2017-10-25 (三),07,11,18,26,28,04,05
2017124,2017-10-23 (一),03,29,30,32,35,03,08
2017123,2017-10-21 (六),03,15,23,26,32,01,12
2017122,2017-10-18 (三),03,12,18,29,34,03,11
2017121,2017-10-16 (一),01,06,12,26,31,01,07
2017120,2017-10-14 (六),08,15,24,26,27,05,06
2017119,2017-10-11 (三),05,07,13,29,35,03,08
2017118,2017-10-09 (一),02,07,16,20,33,03,11
2017117,2017-10-07 (六),05,07,09,24,32,08,10
2017116,2017-10-04 (三),02,27,30,32,33,01,03
2017115,2017-10-02 (一),14,19,20,25,31,06,08
2017114,2017-09-30 (六),06,07,12,18,23,01,12
2017113,2017-09-27 (三),05,08,17,18,23,04,12
2017112,2017-09-25 (一),05,06,20,31,32,06,12
2017111,2017-09-23 (六),02,14,17,26,34,08,12
2017110,2017-09-20 (三),10,14,20,21,35,02,05
2017109,2017-09-18 (一),06,09,19,26,34,05,07
2017108,2017-09-16 (六),01,04,15,21,22,04,09
2017107,2017-09-13 (三),04,10,19,25,27,06,12
2017106,2017-09-11 (一),09,12,18,23,29,02,04
2017105,2017-09-09 (六),04,15,22,24,32,02,09
2017104,2017-09-06 (三),09,11,22,27,30,09,11
2017103,2017-09-04 (一),04,19,20,24,29,03,04
2017102,2017-09-02 (六),01,12,23,24,29,08,12
2017101,2017-08-30 (三),05,15,21,25,29,05,08
2017100,2017-08-28 (一),02,05,18,19,31,01,09
2017099,2017-08-26 (六),08,09,17,18,24,03,07
2017098,2017-08-23 (三),06,09,17,30,35,10,11
2017097,2017-08-21 (一),07,14,19,22,34,07,12
2017096,2017-08-19 (六),03,07,09,17,28,04,12
2017095,2017-08-16 (三),15,32,33,34,35,03,12
2017094,2017-08-14 (一),03,05,08,29,33,04,08
2017093,2017-08-12 (六),05,06,17,21,29,02,04
2017092,2017-08-09 (三),03,07,09,17,34,04,05
2017091,2017-08-07 (一),01,05,07,16,19,03,12
2017090,2017-08-05 (六),03,06,15,22,35,09,11
2017089,2017-08-02 (三),03,05,06,15,18,03,10
2017088,2017-07-31 (一),05,28,31,34,35,08,09
2017087,2017-07-29 (六),03,14,21,29,35,02,06
2017086,2017-07-26 (三),12,15,18,22,31,01,08
2017085,2017-07-24 (一),09,13,14,25,30,02,05
2017084,2017-07-22 (六),06,11,14,21,31,09,12
2017083,2017-07-19 (三),02,05,14,22,34,03,09
2017082,2017-07-17 (一),05,13,20,21,25,08,09
2017081,2017-07-15 (六),02,12,15,20,34,01,06
2017080,2017-07-12 (三),08,10,21,30,31,02,05
2017079,2017-07-10 (一),01,17,19,32,33,02,11
2017078,2017-07-08 (六),04,05,27,31,34,03,06
2017077,2017-07-05 (三),01,03,04,25,31,06,09
2017076,2017-07-03 (一),02,07,25,30,35,07,12
2017075,2017-07-01 (六),05,11,16,18,35,01,06
